001|2017-03-10 01:03|千葉
001|2017-03-10 02:06|千葉
001|2017-03-10 03:07|千葉
001|2017-03-10 04:03|千葉
001|2017-03-10 05:03|千葉
001|2017-03-10 06:03|千葉
001|2017-03-10 07:03|千葉
002|2017-03-10 08:03|海浜幕張
003|2017-03-10 08:23|八丁堀
004|2017-03-10 08:33|東京
005|2017-03-10 08:53|秋葉原
005|2017-03-10 09:53|秋葉原
005|2017-03-10 10:53|秋葉原
005|2017-03-10 11:53|秋葉原
005|2017-03-10 12:53|秋葉原
005|2017-03-10 13:53|秋葉原
005|2017-03-10 14:53|秋葉原
005|2017-03-10 15:53|秋葉原
005|2017-03-10 16:53|秋葉原
005|2017-03-10 17:53|秋葉原
005|2017-03-10 18:53|秋葉原
005|2017-03-10 19:53|秋葉原
005|2017-03-10 20:53|秋葉原
004|2017-03-10 21:13|東京
003|2017-03-10 21:23|八丁堀
002|2017-03-10 21:43|海浜幕張
001|2017-03-10 21:53|千葉
001|2017-03-10 22:03|千葉
001|2017-03-10 23:03|千葉
001|2017-03-10 23:59|千葉
